feature,asset,mean,std,min,max
quote_vol_ratio_24,SOL,1.0228890408998728,0.7464180740411588,0.0,14.150346600928428
taker_buy_base_share,BTC,0.48904300722085287,0.05609962505317404,0.0,0.8085652394647963
taker_buy_base_share,ETH,0.49689322450622747,0.05568502156593909,0.0,0.7794770509175806
taker_buy_base_share,XRP,0.49440537329589207,0.055532894885055126,0.0,0.7716155077362188
taker_buy_base_share,SOL,0.49624651411233434,0.06275379043865772,0.0,0.8469045371704177
body_abs_pct,BTC,0.003967251892311839,0.005015661889306355,0.0,0.1231586085322297
body_abs_pct,ETH,0.005248017845237906,0.006515528210219735,0.0,0.1307936554603319
body_abs_pct,XRP,0.006332693518697731,0.008778170343160085,0.0,0.2470960929245046
body_abs_pct,SOL,0.008135104000795009,0.009789811397139357,0.0,0.1925395015474801
log_volume,BTC,7.398898305401474,1.0962912434811396,0.0,11.829254676166393
log_volume,ETH,9.730096827713849,0.8450652632118959,0.0,13.139887734746628
log_volume,XRP,16.25556968277688,0.916854080803083,0.0,21.062738987674532
log_volume,SOL,11.812757595075519,0.807329685787337,0.0,15.419757999178495
hour_sin,BTC,-0.00021397372847719166,0.7070967888516079,-1.0,1.0
hour_sin,ETH,-0.00021397372847719166,0.7070967888516079,-1.0,1.0
hour_sin,XRP,-0.00021397372847719166,0.7070967888516079,-1.0,1.0
hour_sin,SOL,-0.00021397372847719166,0.7070967888516079,-1.0,1.0
ret_24h,BTC,0.0010076093429034504,0.030791355868365507,-0.2039687627058104,0.2332187295979846
ret_24h,ETH,0.0015123700468879793,0.04066140098617767,-0.334879685641284,0.3813190659532977
ret_24h,XRP,0.0025081128777023954,0.05318433723909644,-0.4710902172714238,0.7540038436899423
ret_24h,SOL,0.004078061435288318,0.06076161939800179,-0.4756507136859782,0.6037216976808142
gap_open_prev_close,BTC,-2.4852855885123735e-08,2.9592886471772575e-05,-0.0018973905993231,0.000986178104581
gap_open_prev_close,ETH,4.633092236058272e-07,3.853195272488751e-05,-0.0034159776732117,0.0013810375670841
gap_open_prev_close,XRP,-9.079423210108404e-06,0.0001307323681966259,-0.0035648994515539,0.0015294951056157
gap_open_prev_close,SOL,6.404055932521369e-06,0.000284251781898255,-0.0094674556213016,0.0047382598253982
atr_14_pct,BTC,0.008512113616672144,0.005435530684899832,0.0006531455944484,0.0890412245603353
atr_14_pct,ETH,0.011162359809767566,0.00707768830428407,0.0006685565975065,0.1460144208295178
atr_14_pct,XRP,0.01365213630087717,0.01047858801704566,0.0017864231837995,0.2144072102316151
atr_14_pct,SOL,0.01700892706234002,0.010813190955072903,0.0027774866366207,0.1917489017901495
log_ret_48h,BTC,0.0011100837950848972,0.04265691926459714,-0.3033124557716601,0.2405160461941551
log_ret_48h,ETH,0.001436661698241436,0.056994698643360486,-0.4081748376295528,0.4049584491511766
log_ret_48h,XRP,0.0023199164080370083,0.07102557503010302,-0.659475426249959,0.7837182677683318
log_ret_48h,SOL,0.004581624884731672,0.0836908398308361,-0.9093814089748712,0.5387333466340712
ret_12h,BTC,0.0005015014692626272,0.021647937357527222,-0.1730952059657007,0.1763380740419065
ret_12h,ETH,0.0007287704620691754,0.028487099090481752,-0.2948454591801749,0.2886458380025998
ret_12h,XRP,0.0012373088474462123,0.036873141727291135,-0.4637283555751627,0.7424692405600339
ret_12h,SOL,0.002026215209540787,0.042766956243564976,-0.3767998876167732,0.6049535057952493
log_ret_12h,BTC,0.0002670186995560146,0.02166204505755798,-0.1900657126722015,0.1624062860893649
log_ret_12h,ETH,0.00032129883332404467,0.028587875341113442,-0.3493382933555451,0.253591929030294
log_ret_12h,XRP,0.0005787910212746183,0.03610574282294365,-0.6231144469906574,0.5553032110204275
log_ret_12h,SOL,0.0011281048822679265,0.04222554551867409,-0.4728876040930942,0.4730947878105188
hour_cos,BTC,-0.00012297226946939038,0.7071328978839099,-1.0,1.0
hour_cos,ETH,-0.00012297226946939038,0.7071328978839099,-1.0,1.0
hour_cos,XRP,-0.00012297226946939038,0.7071328978839099,-1.0,1.0
hour_cos,SOL,-0.00012297226946939038,0.7071328978839099,-1.0,1.0
upper_shadow_pct,BTC,0.0021740625053997633,0.0025517784647931824,0.0,0.0717154588767422
upper_shadow_pct,ETH,0.0027773923019314885,0.0031364194464602634,0.0,0.1110760956885395
