close,fwd_ret_open_1h,RSI,position,raw_return,position_change,transaction_cost,gross_return,net_return,gross_equity_curve,net_equity_curve
62602.0,-0.0001726781616118,68.53440642279382,0.0,-0.0001726781616118,0.0,0.0,-0.0,-0.0,1.0,1.0
62591.2,0.0020317552627207,72.61762038301475,0.0,0.0020317552627207,0.0,0.0,0.0,0.0,1.0,1.0
62718.36,-0.001386993954084,72.5159049054069,0.0,-0.001386993954084,0.0,0.0,-0.0,-0.0,1.0,1.0
62631.38,-0.0001717988650417,66.29157812448307,0.0,-0.0001717988650417,0.0,0.0,-0.0,-0.0,1.0,1.0
62620.62,-0.0050714924253385,65.55281577230491,0.0,-0.0050714924253385,0.0,0.0,-0.0,-0.0,1.0,1.0
62303.03,0.005068773530152,59.63195244250134,0.0,0.005068773530152,0.0,0.0,0.0,0.0,1.0,1.0
62618.85,0.0032110144486867,62.54794367143468,0.0,0.0032110144486867,0.0,0.0,0.0,0.0,1.0,1.0
62819.91,0.0136592045419994,69.1526108020808,0.0,0.0136592045419994,0.0,0.0,0.0,0.0,1.0,1.0
63677.98,0.0022145802991866,79.98946638576967,0.0,0.0022145802991866,0.0,0.0,0.0,0.0,1.0,1.0
63819.0,-0.0028472711888308,80.90411456193766,0.0,-0.0028472711888308,0.0,0.0,-0.0,-0.0,1.0,1.0
63637.29,-0.0016779470024571,76.0426056402799,0.0,-0.0016779470024571,0.0,0.0,-0.0,-0.0,1.0,1.0
63530.51,-0.0010048715176378,73.44686143432833,0.0,-0.0010048715176378,0.0,0.0,-0.0,-0.0,1.0,1.0
63466.66,-0.0013655986677731,72.34657847696022,0.0,-0.0013655986677731,0.0,0.0,-0.0,-0.0,1.0,1.0
63380.01,0.005143420637425,70.19723613710022,0.0,0.005143420637425,0.0,0.0,0.0,0.0,1.0,1.0
63706.0,-0.002731140352736,72.21117426808017,0.0,-0.002731140352736,0.0,0.0,-0.0,-0.0,1.0,1.0
63531.99,0.0003560410501795,69.72771318843412,0.0,0.0003560410501795,0.0,0.0,0.0,0.0,1.0,1.0
63554.62,-0.0054095201890909,69.28202432717944,0.0,-0.0054095201890909,0.0,0.0,-0.0,-0.0,1.0,1.0
63210.83,-0.0050518249881903,62.38921088834226,0.0,-0.0050518249881903,0.0,0.0,-0.0,-0.0,1.0,1.0
62891.48,0.0038790621751845,57.41347726299654,0.0,0.0038790621751845,0.0,0.0,0.0,0.0,1.0,1.0
63135.44,-0.0039934775154053,55.16562767086755,0.0,-0.0039934775154053,0.0,0.0,-0.0,-0.0,1.0,1.0
62883.33,0.0091288119011527,51.895499175970585,0.0,0.0091288119011527,0.0,0.0,0.0,0.0,1.0,1.0
63457.36,0.0084232926766425,58.97710385128811,0.0,0.0084232926766425,0.0,0.0,0.0,0.0,1.0,1.0
63991.89,-0.0053178613727459,63.2444188091566,0.0,-0.0053178613727459,0.0,0.0,-0.0,-0.0,1.0,1.0
63651.6,0.0026443958430575,58.4824885747628,0.0,0.0026443958430575,0.0,0.0,0.0,0.0,1.0,1.0
63819.9,1.4102182217534676e-06,60.64543288608618,0.0,1.4102182217534676e-06,0.0,0.0,0.0,0.0,1.0,1.0
63819.99,-0.0152303353180821,60.76318779244107,0.0,-0.0152303353180821,0.0,0.0,-0.0,-0.0,1.0,1.0
62848.0,0.0084965313136455,54.37654492509656,0.0,0.0084965313136455,0.0,0.0,0.0,0.0,1.0,1.0
63382.0,-0.0057112438407187,55.92120678872956,0.0,-0.0057112438407187,0.0,0.0,-0.0,-0.0,1.0,1.0
63020.0,0.0056171056807361,51.51465144621981,0.0,0.0056171056807361,0.0,0.0,0.0,0.0,1.0,1.0
63373.99,-0.0142473276497187,47.50871568429779,0.0,-0.0142473276497187,0.0,0.0,-0.0,-0.0,1.0,1.0
62471.08,-0.0039549500344799,40.179747514192,0.0,-0.0039549500344799,0.0,0.0,-0.0,-0.0,1.0,1.0
