Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
SMA,0.0006086636943295198,0.4970745357415416,0.3695158850226929,3.3951652774600785e-06,-0.012386916297738686,0.4923226907141116,0.3798420458819105,-6.661816037307711e-05,btc,short_only,no_cost
XGBoost,0.03232358190077199,0.5206021323777004,0.12583892617449666,0.0001809622474426117,0.0019453103155390025,0.5007582284140298,0.2514834044131281,1.1957242750138368e-05,btc,short_only,no_cost
GRU,0.04781006447029421,0.7583617551478756,0.13859035040287399,0.0002822930541025072,-0.03719142604633088,0.48197722144517974,0.17236533626407785,-0.00018678811261349003,btc,long_short,with_cost
LightGBM,0.020804595191667524,0.5868720077972829,0.043206333905971894,0.00010127413211769097,-0.003231141457383903,0.5332349968999455,0.08967187516000416,-2.4263669721377363e-05,btc,long_short,with_cost
Logistic Regression,0.013885540134212011,0.7983826419790283,0.030703168902734775,0.00013009684754662466,0.034820952514192066,0.5681599790185435,0.049419795476850714,0.0002914317160053696,btc,long_short,with_cost
RSI,-0.02199185782898639,0.5414923776446734,0.4686260587717345,-0.00011322307113556232,-0.011062414997532011,0.5282839429665103,0.4626507408741879,-5.458963634285266e-05,btc,long_short,with_cost
SMA,0.0177355268649862,0.5390107976314873,0.03805526485131121,0.00011010627252363481,-0.005829349618067595,0.5223367697594502,0.027446731672083786,-3.715613989821005e-05,btc,long_short,with_cost
XGBoost,-0.020872824580068564,0.52805998553929,0.16938047331888917,-0.0001080192892194525,-0.0433813694768943,0.5121600127486229,0.21940991245172106,-0.00022200608761837018,btc,long_short,with_cost
GRU,0.08252099092966922,0.7583617551478756,0.13859035040287399,0.000490396162479368,-0.005572540568226517,0.48197722144517974,0.17236533626407785,-1.9528500067677913e-05,btc,long_short,no_cost
LightGBM,0.07862298084920688,0.5868720077972829,0.043206333905971894,0.00038600387533216666,0.05939966589447995,0.5332349968999455,0.08967187516000416,0.0002598537086879426,btc,long_short,no_cost
Logistic Regression,0.05275484244206691,0.7983826419790283,0.030703168902734775,0.00041116090640055453,0.07712479466886471,0.5681599790185435,0.049419795476850714,0.0005500293922633295,btc,long_short,no_cost
RSI,-0.002351218074311333,0.5414923776446734,0.4686260587717345,-1.2093067967329164e-05,0.008670982358890236,0.5282839429665103,0.4626507408741879,4.27502343018375e-05,btc,long_short,no_cost
SMA,0.020434483044251068,0.5390107976314873,0.03805526485131121,0.0001268569022465567,-0.002716220222903594,0.5223367697594502,0.027446731672083786,-1.7310779073467822e-05,btc,long_short,no_cost
XGBoost,0.03190035092936533,0.52805998553929,0.16938047331888917,0.0001652517086240226,0.01456548288209551,0.5121600127486229,0.21940991245172106,7.551330313220664e-05,btc,long_short,no_cost
GRU,0.005948212025631478,0.584358488056697,0.026028509563334537,0.00012815758243870504,-0.009741091608211598,0.5680700175612261,0.13238993710691824,-9.635410702824272e-05,eth,long_only,with_cost
LightGBM,0.0013291383487119696,0.5411315948504506,0.1739913544668588,4.342357542834409e-05,0.004748876456953509,0.543443585671438,0.14353015075376882,7.89485529798664e-05,eth,long_only,with_cost
Logistic Regression,-0.000671647981670874,0.5711595574212459,0.0591678674351585,2.4428386394767965e-05,-0.0621915213139131,0.4863620610931947,0.022613065326633167,-0.0007425404684095923,eth,long_only,with_cost
RSI,-0.010548240277535283,0.553082191780822,0.46566948999819785,-6.689641666775536e-05,-0.015582213192692738,0.5365321701199564,0.44157242864835755,-0.0001283478981390686,eth,long_only,with_cost
SMA,-0.03327293802817533,0.5252225519287834,0.03214091156709642,-0.0002252483966349688,0.03684362565362387,0.5232,0.05914270211611503,0.00030823626971977964,eth,long_only,with_cost
XGBoost,-0.01952013485841081,0.5337111307336241,0.09429034582132564,-0.0001336935861583882,-0.01633369074702992,0.5229468660453076,0.104091888011486,-0.0001497080894982348,eth,long_only,with_cost
GRU,0.03498573713206188,0.584358488056697,0.026028509563334537,0.000380354241424174,0.016942324229331594,0.5680700175612261,0.13238993710691824,0.00013805715654855325,eth,long_only,no_cost
LightGBM,0.033259864267982144,0.5411315948504506,0.1739913544668588,0.00028962619577389863,0.028908967687822376,0.543443585671438,0.14353015075376882,0.00033253222912882916,eth,long_only,no_cost
Logistic Regression,0.029305190815265423,0.5711595574212459,0.0591678674351585,0.0002991764046805065,-0.03276687193982407,0.4863620610931947,0.022613065326633167,-0.00043037936657663194,eth,long_only,no_cost
RSI,0.0007802807408378018,0.553082191780822,0.46566948999819785,4.946477167861074e-06,-0.007372186530476845,0.5365321701199564,0.44157242864835755,-6.0714310352809175e-05,eth,long_only,no_cost
