Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,XGBoost,ML,ohlc_raw,ohlc,raw,long_short,0.10352484678654816,-0.8046451715999592,4516.0,4516.0,4.2879710013360545e-05,-0.00021798036700846227,0.00722739964065409,-0.03671530783258621,4946.0,4946.0,0.0439427074732403,0.0002608600770218228,0.9081700183865073
BTC,XGBoost,ML,ohlc_raw,ohlc,raw,short_only,0.12879925616488075,-0.6856468452120528,3652.0,3652.0,5.448582186626069e-05,-0.00016913209275935156,0.011065862062443584,-0.03433633204866382,3652.0,3652.0,0.04540219411110741,0.00022361791462561224,0.8144461013769335
ETH,GRU,ML,candle_extended,candle,extended,long_only,-0.02656645355157594,-0.34275709623488737,1122.0,1122.0,1.2156879977393323e-05,-0.0001976187610482475,0.0013469723772842675,-0.02189404993426615,1122.0,1122.0,0.023241022311550417,0.00020977564102564082,0.31619064268331143
ETH,GRU,ML,candle_extended,candle,extended,long_short,-0.05395111900259386,-0.3617001939996295,1124.0,1124.0,-1.7879609564557988e-05,-0.00022780490305441902,-0.001971888697698373,-0.025120420417212214,1124.0,1124.0,0.02314853171951384,0.00020992529348986104,0.30774907499703563
ETH,GRU,ML,candle_extended,candle,extended,short_only,-0.0353199996287582,-0.1613895357397016,400.0,400.0,-0.00013633941764772017,-0.0004367686021970763,-0.022723351616756104,-0.07266230104972447,400.0,400.0,0.049938949432968366,0.0003004291845493561,0.1260695361109434
ETH,GRU,ML,candle_raw,candle,raw,long_only,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0
ETH,GRU,ML,candle_raw,candle,raw,long_short,0.018679328887104107,-0.0699337494352813,260.0,260.0,0.00016062927981679728,-0.00016437072018320276,0.02122679162257178,-0.02173221330009482,260.0,260.0,0.042959004922666605,0.00032500000000000004,0.08861307832238541
ETH,GRU,ML,candle_raw,candle,raw,short_only,0.018679328887104107,-0.0699337494352813,260.0,260.0,0.00016062927981679728,-0.00016437072018320276,0.02122679162257178,-0.02173221330009482,260.0,260.0,0.042959004922666605,0.00032500000000000004,0.08861307832238541
ETH,GRU,ML,ohlc_extended,ohlc,extended,long_only,-0.06537708934424791,-0.12124425829321728,176.0,176.0,-0.0007134726924822737,-0.0010634726924822738,-0.06830376121472201,-0.10181074287926085,176.0,176.0,0.033506981664538846,0.00035000000000000005,0.05586716894896937
ETH,GRU,ML,ohlc_extended,ohlc,extended,long_short,-0.4310620212313766,-0.6755587831617038,1601.0,1601.0,-0.00022988059518821148,-0.00036477992404727167,-0.02562227562941527,-0.04063197319499559,1602.0,1602.0,0.015009697565580321,0.0001348993288590602,0.2444967619303272
ETH,GRU,ML,ohlc_extended,ohlc,extended,short_only,0.27325120365219524,0.04585104755378655,562.0,562.0,0.0005337971376827534,0.00034019477547802873,0.04942349896535341,0.03146715682851499,562.0,562.0,0.017956342136838423,0.00019360236220472462,0.2274001560984087
ETH,GRU,ML,ohlc_raw,ohlc,raw,long_only,0.34605750404330893,-0.1087229237729257,1178.0,1178.0,0.00010192068789290677,6.130800073766647e-05,0.01095357381349944,0.006589654228721572,1178.0,1178.0,0.0043639195847778684,4.06126871552403e-05,0.4547804278162346
ETH,GRU,ML,ohlc_raw,ohlc,raw,long_short,0.41234291357244945,-0.06613053052139672,1180.0,1180.0,0.00011138892262373239,7.050042774587585e-05,0.011971279287899888,0.007577952155169107,1182.0,1182.0,0.00439332713273078,4.088849487785654e-05,0.4784734440938462
ETH,GRU,ML,ohlc_raw,ohlc,raw,short_only,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0
ETH,LightGBM,ML,candle_extended,candle,extended,long_only,0.06532088621233156,-0.012952473500300266,218.0,218.0,0.0006081548987260954,0.00031469336026455696,0.03960245164809773,0.020482899279786155,218.0,218.0,0.019119552368311577,0.0002934615384615384,0.07827335971263183
ETH,LightGBM,ML,candle_extended,candle,extended,long_short,-0.037992547044938485,-0.2444694241654105,683.0,683.0,-3.3308221647275526e-05,-0.00033089276271007717,-0.0030683422618358806,-0.030454511471743752,690.0,690.0,0.02738616920990787,0.00029758454106280165,0.20647687712047202
ETH,LightGBM,ML,candle_extended,candle,extended,short_only,-0.09663034078055055,-0.30380787093195394,744.0,744.0,-0.00019835644444423744,-0.00048704824045310644,-0.0270588484822531,-0.0663542735180722,744.0,744.0,0.039295425035819107,0.000288691796008869,0.2071775301514034
ETH,LightGBM,ML,candle_raw,candle,raw,long_only,0.34997158098024506,-0.7012055736165641,4308.0,4308.0,0.00011916719446285086,-9.036587946711016e-05,0.014121030510044763,-0.010703546170890768,4308.0,4308.0,0.02482457668093553,0.00020953307392996103,1.0511771545968092
ETH,LightGBM,ML,candle_raw,candle,raw,long_short,0.3045645950159894,-0.7178557472276876,4365.0,4365.0,0.00010881410607696075,-0.00010286311782829937,0.012925180662570085,-0.012212491846436684,4374.0,4374.0,0.025137672509006767,0.00021167722390526012,1.022420342243677
ETH,LightGBM,ML,candle_raw,candle,raw,short_only,-0.00787048987087513,-0.2559902168413253,822.0,822.0,2.260961032795183e-05,-0.0002656669427782604,0.0025950590711102824,-0.030456176050882404,822.0,822.0,0.033051235121992685,0.00028827655310621227,0.24811972697045015
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,0.2989013076655116,-0.3974121920328182,2194.0,2194.0,0.00020168357446572656,-2.6586342300028375e-05,0.021117479557772753,-0.0027824099069228784,2194.0,2194.0,0.02389988946469563,0.00022826991676575494,0.6963134996983298
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_short,0.1420826357456597,-0.48697702636725426,2282.0,2282.0,0.0001225381018762799,-0.00010831296195350713,0.012836336907070355,-0.01134000172496892,2286.0,2286.0,0.024176338632039274,0.000230851063829787,0.629059662112914
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,short_only,-0.06949503782835154,-0.20732309967499207,458.0,458.0,-0.00020824917565803405,-0.0004808682232770816,-0.024309621271344704,-0.056226711885153616,458.0,458.0,0.031917090613808916,0.0002726190476190475,0.13782806184664054
ETH,LightGBM,ML,ohlc_raw,ohlc,raw,long_only,0.22275509839638308,-0.11452432231897203,922.0,922.0,0.00040112324886064376,0.00011805307342204717,0.04079490903537426,0.011998562625841527,922.0,922.0,0.028796346409532735,0.0002830701754385966,0.3372794207153551
ETH,LightGBM,ML,ohlc_raw,ohlc,raw,long_short,0.12032533884443741,-0.5216575308013928,2416.0,2416.0,0.00010257784038546954,-0.0001831317086861484,0.013892514273264656,-0.02477714234964722,2431.0,2431.0,0.03866965662291187,0.0002857095490716179,0.6419828696458302
ETH,LightGBM,ML,ohlc_raw,ohlc,raw,short_only,-0.08376964421271416,-0.45978931104835075,1509.0,1509.0,-7.884101124656588e-05,-0.00036055742915701354,-0.01466927267639249,-0.06697044286266338,1509.0,1509.0,0.05230117018627089,0.0002817164179104477,0.3760196668356366
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_only,0.008243847104189017,-0.0775271526012048,254.0,254.0,9.81022941427441e-05,-0.00021492587487134004,0.010943323666948713,-0.023989079737319428,254.0,254.0,0.03493240340426814,0.0003130281690140841,0.08577099970539381
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_short,0.23220830658681724,0.10169301120100416,319.0,319.0,0.0012136459341006776,0.0009005903785451223,0.11780086773552528,0.08739823790477172,320.0,320.0,0.030402629830753564,0.00031305555555555535,0.13051529538581308
ETH,Logistic Regression,ML,candle_extended,candle,extended,short_only,-0.2628530998580918,-0.6597326831331984,2208.0,2208.0,-6.364873812866083e-05,-0.00019698207146199412,-0.006988361234186297,-0.021618593812477972,2208.0,2208.0,0.014630232578291675,0.00013333333333333329,0.39687958327510664
