Bundle,Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime,Feature Type,Model
table11_feasible,,-0.016385149165684,0.6839852218699264,0.032269060931772,-0.0003129141187878,-0.0208049938897697,0.5749172993733519,0.1106668335258079,-0.0002491852332731,xrp,long_short,with_cost,extended,
table11_feasible,,0.0075494449811447,0.6678329650280486,0.0298565533826193,-0.0002574900632703,-0.0221434010985581,0.513746787137121,0.2388804895114334,-0.0002704247531464,xrp,long_short,with_cost,raw,
table11_feasible,,0.0007887969073686,0.6839852218699264,0.032269060931772,-4.808528254957563e-05,-0.0016443285929854,0.5749172993733519,0.1106668335258079,-2.2446075660065447e-05,xrp,long_short,no_cost,extended,
table11_feasible,,0.0327212855225673,0.6678329650280486,0.0298565533826193,9.399192122149425e-06,-0.00956641853456,0.513746787137121,0.2388804895114334,-0.0001314808671011,xrp,long_short,no_cost,raw,
table11_feasible,,0.1112013441918926,0.5830027214718035,0.0600699287630557,0.0016006189471502,0.0454258135437557,0.5501273046306314,0.088734549144765,0.0005854598043248,sol,long_only,with_cost,extended,
table11_feasible,,0.0349758623860048,0.5278288604441902,0.1045630192922637,0.0004730344759179,-0.0170280618397067,0.5207095217995551,0.1540768522504068,-0.0001088752960715,sol,long_only,with_cost,raw,
table11_feasible,,0.1296410053544351,0.5830027214718035,0.0600699287630557,0.001857646108294,0.0652731935521847,0.5501273046306314,0.088734549144765,0.0008227397448848,sol,long_only,no_cost,extended,
table11_feasible,,0.0563939954470441,0.5278288604441902,0.1045630192922637,0.000720739977318,0.0058654592217322,0.5207095217995551,0.1540768522504068,0.0001385045586001,sol,long_only,no_cost,raw,
table11_feasible,,0.0576597667460744,0.5547356188854261,0.0369445441049518,0.0005524388309936,-0.0011585977778255,0.5351620574113412,0.0664665273660032,-2.5474770320330117e-05,sol,short_only,with_cost,extended,
table11_feasible,,0.0090348279266782,0.51390944039455,0.0602630148762234,8.712723450565806e-05,-0.0558140813280395,0.4603462613619247,0.1443021960091877,-0.0007464532692634,sol,short_only,with_cost,raw,
table11_feasible,,0.0845972736763555,0.5547356188854261,0.0369445441049518,0.0008182134844654,0.029042800853464,0.5351620574113412,0.0664665273660032,0.0002491922544302,sol,short_only,no_cost,extended,
table11_feasible,,0.0331173286661594,0.51390944039455,0.0602630148762234,0.0003292104903327,-0.0334323620535441,0.4603462613619247,0.1443021960091877,-0.0005163419424778,sol,short_only,no_cost,raw,
table11_feasible,,0.0705367538982275,0.658458838274059,0.0484650476666945,0.0008766882356522,0.0105853393172411,0.5585438799521794,0.0765164636598426,0.0001274200508791,sol,long_short,with_cost,extended,
table11_feasible,,0.0330544146691649,0.6494647547614202,0.0798980149181565,0.0004000475529917,-0.0015761455859534,0.5088722900696856,0.1478284534720691,4.1733058424678434e-05,sol,long_short,with_cost,raw,
table11_feasible,,0.0925134022393151,0.658458838274059,0.0484650476666945,0.0011335790603435,0.0343476168728166,0.5585438799521794,0.0765164636598426,0.0003734582541862,sol,long_short,no_cost,extended,
table11_feasible,,0.0539003626216052,0.6494647547614202,0.0798980149181565,0.0006339926866593,0.018694011219184,0.5088722900696856,0.1478284534720691,0.000258854139002,sol,long_short,no_cost,raw,
table12_feasible,,0.06069668602697,0.5998606366499882,0.0398931161310338,0.0007355334244811,0.0909929277331285,0.5929260090707127,0.0629778789448986,0.0009718426471912,all_assets,long_only,with_cost,,GRU
