Asset,Model,Model Family,Feature Set,Strategy Mode,Cost Regime,Validation Precision,Validation Recall,Validation Sharpe,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Threshold Feasible
ETH,GRU,ML,candle_extended,long_only,no_cost,0.5844298245614035,0.0961746661854926,0.019800938882567336,0.0013469723772842675,0.5491452991452992,0.09236298292902066,1.2156879977393323e-05,True
ETH,GRU,ML,candle_raw,long_only,no_cost,,,,,,0.0,,False
ETH,GRU,ML,ohlc_extended,long_only,no_cost,0.6272189349112426,0.01912666907253699,0.02948329539187024,-0.06830376121472201,0.48863636363636365,0.0077268643306379154,-0.0007134726924822737,True
ETH,GRU,ML,ohlc_raw,long_only,no_cost,0.5205479452054794,0.020570191266690727,0.07101474210437314,0.01095357381349944,0.5155634357762018,0.4702605570530099,0.00010192068789290677,True
ETH,GRU,ML,candle_extended,long_only,with_cost,0.5844298245614035,0.0961746661854926,-0.0076473717820295115,-0.02189404993426615,0.5491452991452992,0.09236298292902066,-0.0001976187610482475,True
ETH,GRU,ML,candle_raw,long_only,with_cost,,,,,,0.0,,False
ETH,GRU,ML,ohlc_extended,long_only,with_cost,0.6272189349112426,0.01912666907253699,-0.008677731699677445,-0.10181074287926085,0.48863636363636365,0.0077268643306379154,-0.0010634726924822738,True
ETH,GRU,ML,ohlc_raw,long_only,with_cost,0.5205479452054794,0.020570191266690727,0.06304265034977963,0.006589654228721572,0.5155634357762018,0.4702605570530099,6.130800073766647e-05,True
ETH,GRU,ML,candle_extended,long_short,no_cost,0.7922149122807017,0.04818037365843294,0.0204805271111465,-0.001971888697698373,0.2745726495726496,0.04618149146451033,-1.7879609564557988e-05,True
ETH,GRU,ML,candle_raw,long_short,no_cost,0.759529602595296,0.05963618217658381,0.029820778059386537,0.02122679162257178,0.5428571428571428,0.007090875163276731,0.00016062927981679728,True
ETH,GRU,ML,ohlc_extended,long_short,no_cost,0.6541850220264318,0.054406167498267786,0.027430429903920132,-0.02562227562941527,0.6127285851780558,0.09272046068054898,-0.00022988059518821148,True
ETH,GRU,ML,ohlc_raw,long_short,no_cost,0.5205479452054794,0.010285095633345363,0.07101474210437314,0.011971279287899888,0.7578325123152709,0.23522357951549544,0.00011138892262373239,True
ETH,GRU,ML,candle_extended,long_short,with_cost,0.7922149122807017,0.04818037365843294,-0.006991729475894485,-0.025120420417212214,0.2745726495726496,0.04618149146451033,-0.00022780490305441902,True
ETH,GRU,ML,candle_raw,long_short,with_cost,0.759529602595296,0.05963618217658381,0.00949197399065645,-0.02173221330009482,0.5428571428571428,0.007090875163276731,-0.00016437072018320276,True
ETH,GRU,ML,ohlc_extended,long_short,with_cost,0.6541850220264318,0.054406167498267786,0.010883453620703327,-0.04063197319499559,0.6127285851780558,0.09272046068054898,-0.00036477992404727167,True
ETH,GRU,ML,ohlc_raw,long_short,with_cost,0.5205479452054794,0.010285095633345363,0.06304265034977963,0.007577952155169107,0.7578325123152709,0.23522357951549544,7.050042774587585e-05,True
ETH,GRU,ML,candle_extended,short_only,no_cost,0.6,0.0446594715295869,-0.006342209229053324,-0.022723351616756104,0.5536480686695279,0.02407165515954469,-0.00013633941764772017,True
