Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
ETH,Logistic Regression,ML,candle_raw,candle,raw,long_short,-0.4791905702625791,-0.7367704990875348,1948.0,1948.0,-5.88366512104667e-05,-0.0001073234372292,-0.0071451837865636,-0.0130306899096773,1947.0,1947.0,0.0058855061231137,4.8486786018733306e-05,0.2575799288249557
ETH,Logistic Regression,ML,candle_raw,candle,raw,short_only,-0.4791905702625791,-0.7367704990875348,1948.0,1948.0,-5.88366512104667e-05,-0.0001073234372292,-0.0071451837865636,-0.0130306899096773,1947.0,1947.0,0.0058855061231137,4.8486786018733306e-05,0.2575799288249557
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_only,0.1884077235748504,-0.0312824203695396,584.0,584.0,0.0004881155831508,0.0002219697498175,0.0557415288336923,0.0253421815851318,584.0,584.0,0.030399347248560502,0.0002661458333333,0.21969014394439
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,long_short,-0.059870160771034,-0.170621699715918,358.0,358.0,-0.0002310880703324,-0.0005034793746802,-0.0267518126786426,-0.0582754493029423,358.0,358.0,0.0315236366242997,0.0002723913043478,0.11075153894488401
ETH,Logistic Regression,ML,ohlc_extended,ohlc,extended,short_only,-0.0347593604017973,-0.1460730436174047,350.0,350.0,-0.0001199246557448,-0.0003909423548599,-0.0140134799157067,-0.0456802479142848,350.0,350.0,0.0316667679985781,0.00027101769911510004,0.11131368321560739
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,0.0743064456842614,-0.1249595629458796,586.0,586.0,0.0003219305104326,2.460105448200484e-06,0.0231431203187802,0.0001767431524116,586.0,586.0,0.0229663771663686,0.0003194704049843995,0.199266008630141
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,-0.1573481582648209,-0.7753618831793828,3776.0,3776.0,-2.0806453860628788e-05,-0.0002161360429827,-0.0026976231457478,-0.0279911227504117,3776.0,3776.0,0.0252934996046639,0.0001953295891220712,0.6180137249145619
ETH,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,0.2212441852523798,-0.3029494531687188,1602.0,1602.0,0.0002365440357469,-3.857863353669027e-05,0.0263632787871952,-0.0042984301444024,1602.0,1602.0,0.0306617089315976,0.0002751226692835903,0.5241936384210986
ETH,RSI,Rule,rule_based,rule,rule,long_only,-0.3528799737454595,-0.652006366025074,1772.0,1772.0,-6.0714310352809175e-05,-0.000128347898139,-0.0073721865304768,-0.0155822131926927,1772.0,1772.0,0.008210026662215899,6.763358778619084e-05,0.2991263922796145
ETH,RSI,Rule,rule_based,rule,rule,long_short,-0.6200667892374365,-0.8930688306652171,2821.0,2821.0,-7.065114824901015e-05,-0.0001653310073455,-0.0092142218818158,-0.0215533156516292,3621.0,3621.0,0.012339093769813398,9.467985909648985e-05,0.2730020414277806
ETH,RSI,Rule,rule_based,rule,rule,short_only,-0.4128860252377329,-0.6926758768641927,1849.0,1849.0,-7.964274125356543e-05,-0.0001435365640283,-0.0111928173351536,-0.0201680642021509,1849.0,1849.0,0.0089752468669973,6.389382277473457e-05,0.27978985162645986
ETH,SMA,Rule,rule_based,rule,rule,long_only,0.1924960071232611,0.1800441208203638,30.0,30.0,0.0003166362697197,0.0003082362697197,0.0378451626403655,0.0368436256536238,30.0,30.0,0.0010015369867416996,8.399999999999987e-06,0.012451886302897286
ETH,SMA,Rule,rule_based,rule,rule,long_short,-0.3358854290233367,-0.3999991721323211,289.0,289.0,-4.155328620770476e-05,-5.109634750894582e-05,-0.0049331997231403,-0.0060659847537664,288.0,288.0,0.0011327850306260996,9.54306130124106e-06,0.06411374310898443
ETH,SMA,Rule,rule_based,rule,rule,short_only,-0.0531727165655251,-0.0889214324726161,110.0,110.0,2.41449854165664e-05,1.943492914056934e-05,0.0027841323604786,0.0022411392268475,110.0,110.0,0.0005429931336311,4.71005627599706e-06,0.03574871590709099
ETH,XGBoost,ML,candle_extended,candle,extended,long_only,0.3154656632087154,-0.1512182360014771,1252.0,1252.0,0.0004139532241979,0.0001170697553632,0.045058528934881,0.0127536760977238,1252.0,1252.0,0.0323048528371572,0.00029688346883469997,0.4666838992101925
ETH,XGBoost,ML,candle_extended,candle,extended,long_short,1.08559147009346,-0.5383677640120025,4118.0,4118.0,0.0002935754041535,3.4340613974051125e-06,0.0357607275383747,0.0004186596108586,4309.0,4309.0,0.035342067927516096,0.00029014134275609494,1.6239592341054623
ETH,XGBoost,ML,candle_extended,candle,extended,short_only,0.5172794388807591,-0.4846085709831297,3085.0,3085.0,0.0002280865258099,-2.7256263788181505e-05,0.0290311375543094,-0.0034712248867843,3085.0,3085.0,0.032502362441093696,0.0002553427895980815,1.001888009863889
