asset,symbol,year,month,status,path
ETH,ETHUSDT,2021,9,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-09.csv
ETH,ETHUSDT,2021,10,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-10.csv
ETH,ETHUSDT,2021,11,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-11.csv
ETH,ETHUSDT,2021,12,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-12.csv
ETH,ETHUSDT,2022,1,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-01.csv
ETH,ETHUSDT,2022,2,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-02.csv
ETH,ETHUSDT,2022,3,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-03.csv
ETH,ETHUSDT,2022,4,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-04.csv
ETH,ETHUSDT,2022,5,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-05.csv
ETH,ETHUSDT,2022,6,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-06.csv
ETH,ETHUSDT,2022,7,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-07.csv
ETH,ETHUSDT,2022,8,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-08.csv
ETH,ETHUSDT,2022,9,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-09.csv
ETH,ETHUSDT,2022,10,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-10.csv
ETH,ETHUSDT,2022,11,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-11.csv
ETH,ETHUSDT,2022,12,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2022-12.csv
ETH,ETHUSDT,2023,1,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2023-01.csv
